prod_mean,work_mean,process_mean,tool_ratio,buffer1_mean,buffer1_std,buffer2_mean,buffer2_std,buffer3_mean,buffer3_std
30.0,15.0,25.0,0.1,38.1,5.503635162326805,17.0,3.0659419433511785,16.5,2.0615528128088303
30.0,15.0,25.0,0.15,115.4,11.447270417003349,16.9,2.6627053911388696,15.8,2.08806130178211
30.0,15.0,25.0,0.2,194.5,9.167878707749137,10.0,1.61245154965971,9.8,1.2489995996796797
30.0,15.0,30.0,0.1,37.7,4.495553358597805,47.0,6.180614856144977,44.8,3.8678159211627428
30.0,15.0,30.0,0.15,109.7,6.797793759742936,42.3,6.768308503607087,42.7,7.950471684120383
30.0,15.0,30.0,0.2,193.3,15.006998367428444,18.5,3.2015621187164243,17.5,1.5
30.0,15.0,35.0,0.1,39.1,6.171709649683789,153.5,6.168468205316454,153.1,6.441273166075166
30.0,15.0,35.0,0.15,111.5,9.287087810503355,120.0,11.764352935882194,119.0,9.664367542679656
30.0,15.0,35.0,0.2,192.6,8.272847151978574,44.6,4.923413450036469,46.9,8.607554821202129
30.0,20.0,25.0,0.1,127.9,12.887590930814028,12.0,2.449489742783178,11.4,1.2
30.0,20.0,25.0,0.15,239.1,5.974110812497538,7.6,1.2806248474865698,6.9,1.0440306508910548
30.0,20.0,25.0,0.2,299.9,5.166236541235795,6.0,0.8944271909999159,5.6,0.8
30.0,20.0,30.0,0.1,132.7,10.315522284402277,27.1,8.129575634681062,28.6,10.33634364753804
30.0,20.0,30.0,0.15,238.1,7.6216796049164905,10.1,1.3,10.4,1.3564659966250536
30.0,20.0,30.0,0.2,302.4,3.6932370625238775,7.0,0.7745966692414834,6.9,0.9433981132056604
30.0,20.0,35.0,0.1,129.6,10.707007051459339,91.6,8.924124606929242,93.6,11.191067866830224
30.0,20.0,35.0,0.15,237.1,9.565040512198577,21.2,3.7094473981982814,21.1,2.4269322199023193
30.0,20.0,35.0,0.2,303.6,8.309031231136395,10.7,2.1,10.6,1.9078784028338913
30.0,25.0,25.0,0.1,243.1,8.688498144098324,6.1,1.044030650891055,5.4,0.9165151389911679
30.0,25.0,25.0,0.15,325.7,5.478138369920935,4.2,0.7483314773547882,3.8,0.6
30.0,25.0,25.0,0.2,364.0,4.898979485566356,3.4,0.48989794855663565,3.7,0.6403124237432849
30.0,25.0,30.0,0.1,242.5,7.813449942247022,8.4,1.1135528725660042,8.8,1.4696938456699067
30.0,25.0,30.0,0.15,325.8,5.546169849544819,5.5,0.806225774829855,5.6,0.66332495807108
30.0,25.0,30.0,0.2,367.9,4.699999999999999,4.3,0.45825756949558405,4.1,0.5385164807134504
30.0,25.0,35.0,0.1,246.0,6.663332499583072,17.0,3.82099463490856,16.1,3.477067730142742
30.0,25.0,35.0,0.15,321.2,5.74108003776293,7.3,0.9,7.5,0.806225774829855
30.0,25.0,35.0,0.2,370.9,4.763402145525822,5.6,0.4898979485566356,5.7,0.6403124237432849
40.0,15.0,25.0,0.1,8.4,0.8,5.1,1.1357816691600546,5.3,0.6403124237432849
40.0,15.0,25.0,0.15,13.2,1.469693845669907,5.8,0.7483314773547882,6.0,0.8944271909999159
40.0,15.0,25.0,0.2,21.0,3.5777087639996634,6.8,0.8717797887081347,6.6,1.1135528725660042
40.0,15.0,30.0,0.1,8.5,1.118033988749895,5.9,1.2206555615733703,5.8,0.8717797887081347
40.0,15.0,30.0,0.15,14.1,1.7578395831246947,7.3,1.1,6.7,1.1874342087037917
40.0,15.0,30.0,0.2,21.4,3.954743986657038,8.5,1.3601470508735443,9.1,2.1656407827707715
40.0,15.0,35.0,0.1,8.6,1.2806248474865698,7.4,1.1135528725660042,7.3,1.1874342087037917
40.0,15.0,35.0,0.15,13.9,1.7578395831246947,9.0,1.5491933384829668,8.8,1.077032961426901
40.0,15.0,35.0,0.2,22.3,1.7916472867168918,11.9,1.5132745950421556,11.4,1.2806248474865698
40.0,20.0,25.0,0.1,14.0,1.8973665961010275,5.2,0.8717797887081347,5.3,0.9
40.0,20.0,25.0,0.15,35.9,5.008991914547278,6.4,1.1135528725660044,6.6,0.9165151389911681
40.0,20.0,25.0,0.2,68.6,6.086049621881176,5.6,0.66332495807108,5.7,0.9
40.0,20.0,30.0,0.1,14.0,2.1908902300206643,6.9,0.7000000000000001,6.8,0.8717797887081347
40.0,20.0,30.0,0.15,37.4,2.8,8.6,1.3564659966250536,9.3,1.4177446878757827
40.0,20.0,30.0,0.2,69.8,6.384355879804947,7.0,0.8944271909999159,7.0,0.7745966692414834
40.0,20.0,35.0,0.1,16.5,1.6278820596099706,9.9,1.7,9.7,1.7349351572897471
40.0,20.0,35.0,0.15,35.7,3.3778691508109073,13.6,1.854723699099141,13.4,1.854723699099141
40.0,20.0,35.0,0.2,69.0,7.05691150575094,12.0,2.0,11.3,1.1874342087037917
40.0,25.0,25.0,0.1,37.2,4.261455150532503,4.7,0.6403124237432849,5.2,0.7483314773547882
40.0,25.0,25.0,0.15,90.7,3.4655446902326914,4.1,0.8306623862918074,4.1,0.8306623862918076
40.0,25.0,25.0,0.2,132.0,6.971370023173351,3.7,0.45825756949558405,3.6,0.8
40.0,25.0,30.0,0.1,34.6,6.216108107168021,6.7,0.6403124237432849,6.9,0.5385164807134504
40.0,25.0,30.0,0.15,92.2,3.4,5.3,0.45825756949558405,5.4,0.9165151389911681
40.0,25.0,30.0,0.2,133.1,6.729784543356496,4.3,0.45825756949558405,4.1,0.3
40.0,25.0,35.0,0.1,35.8,5.268775948927797,11.4,1.42828568570857,12.5,2.1095023109728985
40.0,25.0,35.0,0.15,96.3,7.416872656315464,7.9,0.9433981132056604,8.1,1.445683229480096
40.0,25.0,35.0,0.2,132.8,3.2186953878862163,5.2,0.7483314773547882,5.0,0.6324555320336759
50.0,15.0,25.0,0.1,4.3,0.6403124237432849,2.8,0.39999999999999997,2.6,0.48989794855663565
50.0,15.0,25.0,0.15,4.7,0.6403124237432849,3.1,0.3,3.2,0.39999999999999997
50.0,15.0,25.0,0.2,5.7,0.9,3.0,0.0,3.1,0.3
50.0,15.0,30.0,0.1,4.2,0.39999999999999997,3.1,0.3,3.1,0.7000000000000001
50.0,15.0,30.0,0.15,4.9,0.7000000000000001,3.2,0.39999999999999997,3.2,0.39999999999999997
50.0,15.0,30.0,0.2,5.7,0.6403124237432849,3.4,0.48989794855663565,3.5,0.5
50.0,15.0,35.0,0.1,4.2,0.7483314773547882,3.2,0.6,3.3,0.6403124237432849
50.0,15.0,35.0,0.15,4.7,0.45825756949558405,3.6,0.48989794855663565,3.5,0.5
50.0,15.0,35.0,0.2,5.1,0.7000000000000001,3.7,0.6403124237432849,3.8,0.6
50.0,20.0,25.0,0.1,4.5,0.5,2.5,0.5,2.4,0.48989794855663565
50.0,20.0,25.0,0.15,6.5,0.806225774829855,3.0,0.4472135954999579,3.2,0.39999999999999997
50.0,20.0,25.0,0.2,8.1,1.445683229480096,3.3,0.45825756949558405,3.0,0.4472135954999579
50.0,20.0,30.0,0.1,5.0,0.7745966692414834,2.9,0.3,2.8,0.39999999999999997
50.0,20.0,30.0,0.15,7.0,0.8944271909999159,3.1,0.3,3.3,0.45825756949558405
50.0,20.0,30.0,0.2,8.1,0.7000000000000001,3.5,0.5,3.2,0.39999999999999997
50.0,20.0,35.0,0.1,4.7,0.6403124237432849,3.3,0.45825756949558405,3.2,0.39999999999999997
50.0,20.0,35.0,0.15,6.2,0.9797958971132713,3.9,0.8306623862918074,3.6,0.8
50.0,20.0,35.0,0.2,8.3,0.9,4.0,0.6324555320336759,3.8,0.6
50.0,25.0,25.0,0.1,6.4,1.1135528725660042,2.5,0.5,2.7,0.45825756949558405
50.0,25.0,25.0,0.15,9.5,1.8027756377319946,2.8,0.6,3.0,0.4472135954999579
50.0,25.0,25.0,0.2,15.6,1.7435595774162693,2.9,0.5385164807134504,3.2,0.6
50.0,25.0,30.0,0.1,6.3,1.004987562112089,2.8,0.6,3.1,0.5385164807134505
50.0,25.0,30.0,0.15,10.2,1.661324772583615,3.2,0.39999999999999997,3.4,0.48989794855663565
50.0,25.0,30.0,0.2,16.0,3.714835124201342,3.7,0.6403124237432849,3.7,0.45825756949558405
50.0,25.0,35.0,0.1,6.6,1.1135528725660042,3.5,0.5,3.5,0.6708203932499369
50.0,25.0,35.0,0.15,9.6,1.6852299546352716,4.0,0.6324555320336759,3.8,0.6
50.0,25.0,35.0,0.2,16.9,3.176476034853718,4.1,0.5385164807134504,4.4,0.4898979485566356
